,Bill Number,Representative,Party,State,Vote
0,H. Res. 1469,Adams,Democratic,North Carolina,Nay
1,H. Res. 1469,Aderholt,Republican,Alabama,Yea
2,H. Res. 1469,Aguilar,Democratic,California,Nay
3,H. Res. 1469,Alford,Republican,Missouri,Yea
4,H. Res. 1469,Allen,Republican,Georgia,Yea
5,H. Res. 1469,Allred,Democratic,Texas,Nay
6,H. Res. 1469,Amo,Democratic,Rhode Island,Nay
7,H. Res. 1469,Amodei,Republican,Nevada,Yea
8,H. Res. 1469,Armstrong,Republican,North Dakota,Yea
9,H. Res. 1469,Arrington,Republican,Texas,Yea
10,H. Res. 1469,Auchincloss,Democratic,Massachusetts,Nay
11,H. Res. 1469,Babin,Republican,Texas,Yea
12,H. Res. 1469,Bacon,Republican,Nebraska,Yea
13,H. Res. 1469,Baird,Republican,Indiana,Yea
14,H. Res. 1469,Balderson,Republican,Ohio,Yea
15,H. Res. 1469,Balint,Democratic,Vermont,Nay
16,H. Res. 1469,Banks,Republican,Indiana,Yea
17,H. Res. 1469,Barr,Republican,Kentucky,Yea
18,H. Res. 1469,Barragán,Democratic,California,Nay
19,H. Res. 1469,Bean (FL),Republican,Florida,Yea
20,H. Res. 1469,Beatty,Democratic,Ohio,Nay
21,H. Res. 1469,Bentz,Republican,Oregon,Yea
22,H. Res. 1469,Bera,Democratic,California,Nay
23,H. Res. 1469,Bergman,Republican,Michigan,Yea
24,H. Res. 1469,Beyer,Democratic,Virginia,Nay
25,H. Res. 1469,Bice,Republican,Oklahoma,Yea
26,H. Res. 1469,Biggs,Republican,Arizona,Yea
27,H. Res. 1469,Bilirakis,Republican,Florida,Yea
28,H. Res. 1469,Bishop (GA),Democratic,Georgia,Nay
29,H. Res. 1469,Bishop (NC),Republican,North Carolina,Not Voting
30,H. Res. 1469,Blumenauer,Democratic,Oregon,Nay
31,H. Res. 1469,Blunt Rochester,Democratic,Delaware,Nay
32,H. Res. 1469,Boebert,Republican,Colorado,Yea
33,H. Res. 1469,Bonamici,Democratic,Oregon,Nay
34,H. Res. 1469,Bost,Republican,Illinois,Yea
35,H. Res. 1469,Bowman,Democratic,New York,Not Voting
36,H. Res. 1469,Boyle (PA),Democratic,Pennsylvania,Nay
37,H. Res. 1469,Brecheen,Republican,Oklahoma,Yea
38,H. Res. 1469,Brown,Democratic,Ohio,Nay
39,H. Res. 1469,Brownley,Democratic,California,Nay
40,H. Res. 1469,Buchanan,Republican,Florida,Yea
41,H. Res. 1469,Bucshon,Republican,Indiana,Yea
42,H. Res. 1469,Budzinski,Democratic,Illinois,Nay
43,H. Res. 1469,Burchett,Republican,Tennessee,Yea
44,H. Res. 1469,Burgess,Republican,Texas,Yea
45,H. Res. 1469,Burlison,Republican,Missouri,Yea
46,H. Res. 1469,Bush,Democratic,Missouri,Nay
47,H. Res. 1469,Calvert,Republican,California,Yea
48,H. Res. 1469,Cammack,Republican,Florida,Yea
49,H. Res. 1469,Caraveo,Democratic,Colorado,Yea
50,H. Res. 1469,Carbajal,Democratic,California,Nay
51,H. Res. 1469,Cárdenas,Democratic,California,Nay
52,H. Res. 1469,Carey,Republican,Ohio,Yea
53,H. Res. 1469,Carl,Republican,Alabama,Yea
54,H. Res. 1469,Carson,Democratic,Indiana,Nay
55,H. Res. 1469,Carter (GA),Republican,Georgia,Yea
56,H. Res. 1469,Carter (LA),Democratic,Louisiana,Nay
57,H. Res. 1469,Carter (TX),Republican,Texas,Yea
58,H. Res. 1469,Cartwright,Democratic,Pennsylvania,Nay
59,H. Res. 1469,Casar,Democratic,Texas,Nay
60,H. Res. 1469,Case,Democratic,Hawaii,Nay
61,H. Res. 1469,Casten,Democratic,Illinois,Nay
62,H. Res. 1469,Castor (FL),Democratic,Florida,Nay
63,H. Res. 1469,Castro (TX),Democratic,Texas,Nay
64,H. Res. 1469,Chavez-DeRemer,Republican,Oregon,Yea
65,H. Res. 1469,Cherfilus-McCormick,Democratic,Florida,Nay
66,H. Res. 1469,Chu,Democratic,California,Nay
67,H. Res. 1469,Ciscomani,Republican,Arizona,Yea
68,H. Res. 1469,Clark (MA),Democratic,Massachusetts,Nay
69,H. Res. 1469,Clarke (NY),Democratic,New York,Nay
70,H. Res. 1469,Cleaver,Democratic,Missouri,Nay
71,H. Res. 1469,Cline,Republican,Virginia,Yea
72,H. Res. 1469,Cloud,Republican,Texas,Yea
73,H. Res. 1469,Clyburn,Democratic,South Carolina,Nay
74,H. Res. 1469,Clyde,Republican,Georgia,Yea
75,H. Res. 1469,Cohen,Democratic,Tennessee,Nay
76,H. Res. 1469,Cole,Republican,Oklahoma,Yea
77,H. Res. 1469,Collins,Republican,Georgia,Yea
78,H. Res. 1469,Comer,Republican,Kentucky,Yea
79,H. Res. 1469,Connolly,Democratic,Virginia,Nay
80,H. Res. 1469,Correa,Democratic,California,Nay
81,H. Res. 1469,Costa,Democratic,California,Nay
82,H. Res. 1469,Courtney,Democratic,Connecticut,Nay
83,H. Res. 1469,Craig,Democratic,Minnesota,Nay
84,H. Res. 1469,Crane,Republican,Arizona,Yea
85,H. Res. 1469,Crawford,Republican,Arkansas,Yea
86,H. Res. 1469,Crenshaw,Republican,Texas,Yea
87,H. Res. 1469,Crockett,Democratic,Texas,Nay
88,H. Res. 1469,Crow,Democratic,Colorado,Nay
89,H. Res. 1469,Cuellar,Democratic,Texas,Yea
90,H. Res. 1469,Curtis,Republican,Utah,Yea
91,H. Res. 1469,D'Esposito,Republican,New York,Yea
92,H. Res. 1469,Davids (KS),Democratic,Kansas,Nay
93,H. Res. 1469,Davidson,Republican,Ohio,Yea
94,H. Res. 1469,Davis (IL),Democratic,Illinois,Nay
95,H. Res. 1469,Davis (NC),Democratic,North Carolina,Yea
96,H. Res. 1469,De La Cruz,Republican,Texas,Yea
97,H. Res. 1469,Dean (PA),Democratic,Pennsylvania,Nay
98,H. Res. 1469,DeGette,Democratic,Colorado,Nay
99,H. Res. 1469,DeLauro,Democratic,Connecticut,Nay
100,H. Res. 1469,DelBene,Democratic,Washington,Nay
101,H. Res. 1469,Deluzio,Democratic,Pennsylvania,Nay
102,H. Res. 1469,DeSaulnier,Democratic,California,Nay
103,H. Res. 1469,DesJarlais,Republican,Tennessee,Not Voting
104,H. Res. 1469,Diaz-Balart,Republican,Florida,Yea
105,H. Res. 1469,Dingell,Democratic,Michigan,Nay
106,H. Res. 1469,Doggett,Democratic,Texas,Nay
107,H. Res. 1469,Donalds,Republican,Florida,Yea
108,H. Res. 1469,Duarte,Republican,California,Yea
109,H. Res. 1469,Duncan,Republican,South Carolina,Yea
110,H. Res. 1469,Dunn (FL),Republican,Florida,Yea
111,H. Res. 1469,Edwards,Republican,North Carolina,Yea
112,H. Res. 1469,Ellzey,Republican,Texas,Yea
113,H. Res. 1469,Emmer,Republican,Minnesota,Yea
114,H. Res. 1469,Escobar,Democratic,Texas,Nay
115,H. Res. 1469,Eshoo,Democratic,California,Nay
116,H. Res. 1469,Espaillat,Democratic,New York,Nay
117,H. Res. 1469,Estes,Republican,Kansas,Yea
118,H. Res. 1469,Evans,Democratic,Pennsylvania,Not Voting
119,H. Res. 1469,Ezell,Republican,Mississippi,Yea
120,H. Res. 1469,Fallon,Republican,Texas,Yea
121,H. Res. 1469,Feenstra,Republican,Iowa,Yea
122,H. Res. 1469,Ferguson,Republican,Georgia,Not Voting
123,H. Res. 1469,Finstad,Republican,Minnesota,Yea
124,H. Res. 1469,Fischbach,Republican,Minnesota,Yea
125,H. Res. 1469,Fitzgerald,Republican,Wisconsin,Yea
126,H. Res. 1469,Fitzpatrick,Republican,Pennsylvania,Yea
127,H. Res. 1469,Fleischmann,Republican,Tennessee,Yea
128,H. Res. 1469,Fletcher,Democratic,Texas,Nay
129,H. Res. 1469,Flood,Republican,Nebraska,Yea
130,H. Res. 1469,Fong,Republican,California,Yea
131,H. Res. 1469,Foster,Democratic,Illinois,Nay
132,H. Res. 1469,Foushee,Democratic,North Carolina,Nay
133,H. Res. 1469,Foxx,Republican,North Carolina,Yea
134,H. Res. 1469,"Frankel, Lois",Democratic,Florida,Nay
135,H. Res. 1469,"Franklin, Scott",Republican,Florida,Yea
136,H. Res. 1469,Frost,Democratic,Florida,Nay
137,H. Res. 1469,Fry,Republican,South Carolina,Yea
138,H. Res. 1469,Fulcher,Republican,Idaho,Yea
139,H. Res. 1469,Gaetz,Republican,Florida,Yea
140,H. Res. 1469,Gallego,Democratic,Arizona,Not Voting
141,H. Res. 1469,Garamendi,Democratic,California,Not Voting
142,H. Res. 1469,Garbarino,Republican,New York,Yea
143,H. Res. 1469,García (IL),Democratic,Illinois,Nay
144,H. Res. 1469,Garcia (TX),Democratic,Texas,Nay
145,H. Res. 1469,"Garcia, Mike",Republican,California,Yea
146,H. Res. 1469,"Garcia, Robert",Democratic,California,Nay
147,H. Res. 1469,Gimenez,Republican,Florida,Yea
148,H. Res. 1469,Golden (ME),Democratic,Maine,Yea
149,H. Res. 1469,Goldman (NY),Democratic,New York,Nay
150,H. Res. 1469,Gomez,Democratic,California,Nay
151,H. Res. 1469,"Gonzales, Tony",Republican,Texas,Yea
152,H. Res. 1469,"Gonzalez, V.",Democratic,Texas,Yea
153,H. Res. 1469,Good (VA),Republican,Virginia,Yea
154,H. Res. 1469,Gooden (TX),Republican,Texas,Yea
155,H. Res. 1469,Gosar,Republican,Arizona,Not Voting
156,H. Res. 1469,Gottheimer,Democratic,New Jersey,Nay
157,H. Res. 1469,Granger,Republican,Texas,Not Voting
158,H. Res. 1469,Graves (LA),Republican,Louisiana,Yea
159,H. Res. 1469,Graves (MO),Republican,Missouri,Yea
160,H. Res. 1469,Green (TN),Republican,Tennessee,Yea
161,H. Res. 1469,"Green, Al (TX)",Democratic,Texas,Nay
162,H. Res. 1469,Greene (GA),Republican,Georgia,Yea
163,H. Res. 1469,Griffith,Republican,Virginia,Yea
164,H. Res. 1469,Grijalva,Democratic,Arizona,Not Voting
165,H. Res. 1469,Grothman,Republican,Wisconsin,Yea
166,H. Res. 1469,Guest,Republican,Mississippi,Yea
167,H. Res. 1469,Guthrie,Republican,Kentucky,Yea
168,H. Res. 1469,Hageman,Republican,Wyoming,Yea
169,H. Res. 1469,Harder (CA),Democratic,California,Nay
170,H. Res. 1469,Harris,Republican,Maryland,Yea
171,H. Res. 1469,Harshbarger,Republican,Tennessee,Yea
172,H. Res. 1469,Hayes,Democratic,Connecticut,Nay
173,H. Res. 1469,Hern,Republican,Oklahoma,Yea
174,H. Res. 1469,Higgins (LA),Republican,Louisiana,Yea
175,H. Res. 1469,Hill,Republican,Arkansas,Yea
176,H. Res. 1469,Himes,Democratic,Connecticut,Nay
177,H. Res. 1469,Hinson,Republican,Iowa,Yea
178,H. Res. 1469,Horsford,Democratic,Nevada,Nay
179,H. Res. 1469,Houchin,Republican,Indiana,Yea
180,H. Res. 1469,Houlahan,Democratic,Pennsylvania,Nay
181,H. Res. 1469,Hoyer,Democratic,Maryland,Nay
182,H. Res. 1469,Hoyle (OR),Democratic,Oregon,Nay
183,H. Res. 1469,Hudson,Republican,North Carolina,Yea
184,H. Res. 1469,Huffman,Democratic,California,Nay
185,H. Res. 1469,Huizenga,Republican,Michigan,Yea
186,H. Res. 1469,Hunt,Republican,Texas,Yea
187,H. Res. 1469,Issa,Republican,California,Not Voting
188,H. Res. 1469,Ivey,Democratic,Maryland,Nay
189,H. Res. 1469,Jackson (IL),Democratic,Illinois,Nay
190,H. Res. 1469,Jackson (NC),Democratic,North Carolina,Yea
191,H. Res. 1469,Jackson (TX),Republican,Texas,Yea
192,H. Res. 1469,Jacobs,Democratic,California,Nay
193,H. Res. 1469,James,Republican,Michigan,Yea
194,H. Res. 1469,Jayapal,Democratic,Washington,Nay
195,H. Res. 1469,Jeffries,Democratic,New York,Nay
196,H. Res. 1469,Johnson (GA),Democratic,Georgia,Nay
197,H. Res. 1469,Johnson (LA),Republican,Louisiana,Yea
198,H. Res. 1469,Johnson (SD),Republican,South Dakota,Yea
199,H. Res. 1469,Jordan,Republican,Ohio,Yea
200,H. Res. 1469,Joyce (OH),Republican,Ohio,Yea
201,H. Res. 1469,Joyce (PA),Republican,Pennsylvania,Yea
202,H. Res. 1469,Kamlager-Dove,Democratic,California,Nay
203,H. Res. 1469,Kaptur,Democratic,Ohio,Nay
204,H. Res. 1469,Kean (NJ),Republican,New Jersey,Yea
205,H. Res. 1469,Keating,Democratic,Massachusetts,Nay
206,H. Res. 1469,Kelly (IL),Democratic,Illinois,Nay
207,H. Res. 1469,Kelly (MS),Republican,Mississippi,Yea
208,H. Res. 1469,Kelly (PA),Republican,Pennsylvania,Yea
209,H. Res. 1469,Kennedy,Democratic,New York,Nay
210,H. Res. 1469,Khanna,Democratic,California,Nay
211,H. Res. 1469,Kiggans (VA),Republican,Virginia,Yea
212,H. Res. 1469,Kildee,Democratic,Michigan,Nay
213,H. Res. 1469,Kiley,Republican,California,Yea
214,H. Res. 1469,Kilmer,Democratic,Washington,Nay
215,H. Res. 1469,Kim (CA),Republican,California,Yea
216,H. Res. 1469,Kim (NJ),Democratic,New Jersey,Nay
217,H. Res. 1469,Krishnamoorthi,Democratic,Illinois,Nay
218,H. Res. 1469,Kuster,Democratic,New Hampshire,Nay
219,H. Res. 1469,Kustoff,Republican,Tennessee,Yea
220,H. Res. 1469,LaHood,Republican,Illinois,Yea
221,H. Res. 1469,LaLota,Republican,New York,Yea
222,H. Res. 1469,LaMalfa,Republican,California,Not Voting
223,H. Res. 1469,Lamborn,Republican,Colorado,Yea
224,H. Res. 1469,Landsman,Democratic,Ohio,Yea
225,H. Res. 1469,Langworthy,Republican,New York,Yea
226,H. Res. 1469,Larsen (WA),Democratic,Washington,Nay
227,H. Res. 1469,Larson (CT),Democratic,Connecticut,Nay
228,H. Res. 1469,Latta,Republican,Ohio,Yea
229,H. Res. 1469,LaTurner,Republican,Kansas,Yea
230,H. Res. 1469,Lawler,Republican,New York,Yea
231,H. Res. 1469,Lee (CA),Democratic,California,Nay
232,H. Res. 1469,Lee (FL),Republican,Florida,Yea
233,H. Res. 1469,Lee (NV),Democratic,Nevada,Yea
234,H. Res. 1469,Lee (PA),Democratic,Pennsylvania,Nay
235,H. Res. 1469,Leger Fernandez,Democratic,New Mexico,Nay
236,H. Res. 1469,Lesko,Republican,Arizona,Yea
237,H. Res. 1469,Letlow,Republican,Louisiana,Yea
238,H. Res. 1469,Levin,Democratic,California,Nay
239,H. Res. 1469,Lieu,Democratic,California,Nay
240,H. Res. 1469,Lofgren,Democratic,California,Nay
241,H. Res. 1469,Lopez,Republican,Colorado,Yea
242,H. Res. 1469,Loudermilk,Republican,Georgia,Yea
243,H. Res. 1469,Lucas,Republican,Oklahoma,Yea
244,H. Res. 1469,Luetkemeyer,Republican,Missouri,Yea
245,H. Res. 1469,Luna,Republican,Florida,Yea
246,H. Res. 1469,Luttrell,Republican,Texas,Yea
247,H. Res. 1469,Lynch,Democratic,Massachusetts,Nay
248,H. Res. 1469,Mace,Republican,South Carolina,Yea
249,H. Res. 1469,Magaziner,Democratic,Rhode Island,Nay
250,H. Res. 1469,Malliotakis,Republican,New York,Yea
251,H. Res. 1469,Maloy,Republican,Utah,Yea
252,H. Res. 1469,Mann,Republican,Kansas,Yea
253,H. Res. 1469,Manning,Democratic,North Carolina,Nay
254,H. Res. 1469,Massie,Republican,Kentucky,Yea
255,H. Res. 1469,Mast,Republican,Florida,Yea
256,H. Res. 1469,Matsui,Democratic,California,Nay
257,H. Res. 1469,McBath,Democratic,Georgia,Nay
258,H. Res. 1469,McCaul,Republican,Texas,Yea
259,H. Res. 1469,McClain,Republican,Michigan,Yea
260,H. Res. 1469,McClellan,Democratic,Virginia,Nay
261,H. Res. 1469,McClintock,Republican,California,Yea
262,H. Res. 1469,McCollum,Democratic,Minnesota,Nay
263,H. Res. 1469,McCormick,Republican,Georgia,Yea
264,H. Res. 1469,McGarvey,Democratic,Kentucky,Nay
265,H. Res. 1469,McGovern,Democratic,Massachusetts,Nay
266,H. Res. 1469,McHenry,Republican,North Carolina,Not Voting
267,H. Res. 1469,McIver,Democratic,New Jersey,Nay
268,H. Res. 1469,Meeks,Democratic,New York,Nay
269,H. Res. 1469,Menendez,Democratic,New Jersey,Nay
270,H. Res. 1469,Meng,Democratic,New York,Nay
271,H. Res. 1469,Meuser,Republican,Pennsylvania,Yea
272,H. Res. 1469,Mfume,Democratic,Maryland,Nay
273,H. Res. 1469,Miller (IL),Republican,Illinois,Yea
274,H. Res. 1469,Miller (OH),Republican,Ohio,Yea
275,H. Res. 1469,Miller (WV),Republican,West Virginia,Yea
276,H. Res. 1469,Miller-Meeks,Republican,Iowa,Yea
277,H. Res. 1469,Mills,Republican,Florida,Yea
278,H. Res. 1469,Molinaro,Republican,New York,Yea
279,H. Res. 1469,Moolenaar,Republican,Michigan,Yea
280,H. Res. 1469,Mooney,Republican,West Virginia,Yea
281,H. Res. 1469,Moore (AL),Republican,Alabama,Yea
282,H. Res. 1469,Moore (UT),Republican,Utah,Yea
283,H. Res. 1469,Moore (WI),Democratic,Wisconsin,Nay
284,H. Res. 1469,Moran,Republican,Texas,Yea
285,H. Res. 1469,Morelle,Democratic,New York,Nay
286,H. Res. 1469,Moskowitz,Democratic,Florida,Nay
287,H. Res. 1469,Moulton,Democratic,Massachusetts,Nay
288,H. Res. 1469,Mrvan,Democratic,Indiana,Nay
289,H. Res. 1469,Mullin,Democratic,California,Not Voting
290,H. Res. 1469,Murphy,Republican,North Carolina,Yea
291,H. Res. 1469,Nadler,Democratic,New York,Nay
292,H. Res. 1469,Napolitano,Democratic,California,Nay
293,H. Res. 1469,Neal,Democratic,Massachusetts,Nay
294,H. Res. 1469,Neguse,Democratic,Colorado,Nay
295,H. Res. 1469,Nehls,Republican,Texas,Not Voting
296,H. Res. 1469,Newhouse,Republican,Washington,Yea
297,H. Res. 1469,Nickel,Democratic,North Carolina,Nay
298,H. Res. 1469,Norcross,Democratic,New Jersey,Nay
299,H. Res. 1469,Norman,Republican,South Carolina,Yea
300,H. Res. 1469,Nunn (IA),Republican,Iowa,Yea
301,H. Res. 1469,Obernolte,Republican,California,Yea
302,H. Res. 1469,Ocasio-Cortez,Democratic,New York,Nay
303,H. Res. 1469,Ogles,Republican,Tennessee,Yea
304,H. Res. 1469,Omar,Democratic,Minnesota,Nay
305,H. Res. 1469,Owens,Republican,Utah,Yea
306,H. Res. 1469,Pallone,Democratic,New Jersey,Nay
307,H. Res. 1469,Palmer,Republican,Alabama,Yea
308,H. Res. 1469,Panetta,Democratic,California,Nay
309,H. Res. 1469,Pappas,Democratic,New Hampshire,Nay
310,H. Res. 1469,Pelosi,Democratic,California,Nay
311,H. Res. 1469,Peltola,Democratic,Alaska,Yea
312,H. Res. 1469,Pence,Republican,Indiana,Yea
313,H. Res. 1469,Perez,Democratic,Washington,Yea
314,H. Res. 1469,Perry,Republican,Pennsylvania,Yea
315,H. Res. 1469,Peters,Democratic,California,Nay
316,H. Res. 1469,Pettersen,Democratic,Colorado,Nay
317,H. Res. 1469,Pfluger,Republican,Texas,Yea
318,H. Res. 1469,Phillips,Democratic,Minnesota,Nay
319,H. Res. 1469,Pingree,Democratic,Maine,Nay
320,H. Res. 1469,Pocan,Democratic,Wisconsin,Nay
321,H. Res. 1469,Porter,Democratic,California,Nay
322,H. Res. 1469,Posey,Republican,Florida,Yea
323,H. Res. 1469,Pressley,Democratic,Massachusetts,Nay
324,H. Res. 1469,Quigley,Democratic,Illinois,Not Voting
325,H. Res. 1469,Ramirez,Democratic,Illinois,Nay
326,H. Res. 1469,Raskin,Democratic,Maryland,Nay
327,H. Res. 1469,Reschenthaler,Republican,Pennsylvania,Yea
328,H. Res. 1469,Rodgers (WA),Republican,Washington,Yea
329,H. Res. 1469,Rogers (AL),Republican,Alabama,Yea
330,H. Res. 1469,Rogers (KY),Republican,Kentucky,Yea
331,H. Res. 1469,Rose,Republican,Tennessee,Yea
332,H. Res. 1469,Rosendale,Republican,Montana,Yea
333,H. Res. 1469,Ross,Democratic,North Carolina,Nay
334,H. Res. 1469,Rouzer,Republican,North Carolina,Yea
335,H. Res. 1469,Roy,Republican,Texas,Yea
336,H. Res. 1469,Ruiz,Democratic,California,Nay
337,H. Res. 1469,Rulli,Republican,Ohio,Yea
338,H. Res. 1469,Ruppersberger,Democratic,Maryland,Nay
339,H. Res. 1469,Rutherford,Republican,Florida,Yea
340,H. Res. 1469,Ryan,Democratic,New York,Nay
341,H. Res. 1469,Salazar,Republican,Florida,Yea
342,H. Res. 1469,Salinas,Democratic,Oregon,Nay
343,H. Res. 1469,Sánchez,Democratic,California,Nay
344,H. Res. 1469,Sarbanes,Democratic,Maryland,Nay
345,H. Res. 1469,Scalise,Republican,Louisiana,Yea
346,H. Res. 1469,Scanlon,Democratic,Pennsylvania,Nay
347,H. Res. 1469,Schakowsky,Democratic,Illinois,Nay
348,H. Res. 1469,Schiff,Democratic,California,Nay
349,H. Res. 1469,Schneider,Democratic,Illinois,Nay
350,H. Res. 1469,Scholten,Democratic,Michigan,Nay
351,H. Res. 1469,Schrier,Democratic,Washington,Nay
352,H. Res. 1469,Schweikert,Republican,Arizona,Yea
353,H. Res. 1469,Scott (VA),Democratic,Virginia,Nay
354,H. Res. 1469,"Scott, Austin",Republican,Georgia,Yea
355,H. Res. 1469,"Scott, David",Democratic,Georgia,Nay
356,H. Res. 1469,Self,Republican,Texas,Yea
357,H. Res. 1469,Sessions,Republican,Texas,Yea
358,H. Res. 1469,Sewell,Democratic,Alabama,Nay
359,H. Res. 1469,Sherman,Democratic,California,Nay
360,H. Res. 1469,Sherrill,Democratic,New Jersey,Nay
361,H. Res. 1469,Simpson,Republican,Idaho,Yea
362,H. Res. 1469,Slotkin,Democratic,Michigan,Nay
363,H. Res. 1469,Smith (MO),Republican,Missouri,Yea
364,H. Res. 1469,Smith (NE),Republican,Nebraska,Yea
365,H. Res. 1469,Smith (NJ),Republican,New Jersey,Yea
366,H. Res. 1469,Smith (WA),Democratic,Washington,Nay
367,H. Res. 1469,Smucker,Republican,Pennsylvania,Yea
368,H. Res. 1469,Sorensen,Democratic,Illinois,Nay
369,H. Res. 1469,Soto,Democratic,Florida,Nay
370,H. Res. 1469,Spanberger,Democratic,Virginia,Nay
371,H. Res. 1469,Spartz,Republican,Indiana,Not Voting
372,H. Res. 1469,Stansbury,Democratic,New Mexico,Nay
373,H. Res. 1469,Stanton,Democratic,Arizona,Nay
374,H. Res. 1469,Stauber,Republican,Minnesota,Yea
375,H. Res. 1469,Steel,Republican,California,Yea
376,H. Res. 1469,Stefanik,Republican,New York,Yea
377,H. Res. 1469,Steil,Republican,Wisconsin,Yea
378,H. Res. 1469,Steube,Republican,Florida,Not Voting
379,H. Res. 1469,Stevens,Democratic,Michigan,Nay
380,H. Res. 1469,Strickland,Democratic,Washington,Nay
381,H. Res. 1469,Strong,Republican,Alabama,Yea
382,H. Res. 1469,Suozzi,Democratic,New York,Nay
383,H. Res. 1469,Swalwell,Democratic,California,Nay
384,H. Res. 1469,Sykes,Democratic,Ohio,Nay
385,H. Res. 1469,Takano,Democratic,California,Nay
386,H. Res. 1469,Tenney,Republican,New York,Yea
387,H. Res. 1469,Thanedar,Democratic,Michigan,Nay
388,H. Res. 1469,Thompson (CA),Democratic,California,Nay
389,H. Res. 1469,Thompson (MS),Democratic,Mississippi,Nay
390,H. Res. 1469,Thompson (PA),Republican,Pennsylvania,Yea
391,H. Res. 1469,Tiffany,Republican,Wisconsin,Yea
392,H. Res. 1469,Timmons,Republican,South Carolina,Yea
393,H. Res. 1469,Titus,Democratic,Nevada,Nay
394,H. Res. 1469,Tlaib,Democratic,Michigan,Not Voting
395,H. Res. 1469,Tokuda,Democratic,Hawaii,Nay
396,H. Res. 1469,Tonko,Democratic,New York,Nay
397,H. Res. 1469,Torres (CA),Democratic,California,Nay
398,H. Res. 1469,Torres (NY),Democratic,New York,Nay
399,H. Res. 1469,Trahan,Democratic,Massachusetts,Nay
400,H. Res. 1469,Trone,Democratic,Maryland,Nay
401,H. Res. 1469,Turner,Republican,Ohio,Yea
402,H. Res. 1469,Underwood,Democratic,Illinois,Nay
403,H. Res. 1469,Valadao,Republican,California,Yea
404,H. Res. 1469,Van Drew,Republican,New Jersey,Yea
405,H. Res. 1469,Van Duyne,Republican,Texas,Yea
406,H. Res. 1469,Van Orden,Republican,Wisconsin,Yea
407,H. Res. 1469,Vargas,Democratic,California,Nay
408,H. Res. 1469,Vasquez,Democratic,New Mexico,Nay
409,H. Res. 1469,Veasey,Democratic,Texas,Nay
410,H. Res. 1469,Velázquez,Democratic,New York,Nay
411,H. Res. 1469,Wagner,Republican,Missouri,Yea
412,H. Res. 1469,Walberg,Republican,Michigan,Yea
413,H. Res. 1469,Waltz,Republican,Florida,Yea
414,H. Res. 1469,Wasserman Schultz,Democratic,Florida,Nay
415,H. Res. 1469,Waters,Democratic,California,Nay
416,H. Res. 1469,Watson Coleman,Democratic,New Jersey,Nay
417,H. Res. 1469,Weber (TX),Republican,Texas,Yea
418,H. Res. 1469,Webster (FL),Republican,Florida,Yea
419,H. Res. 1469,Wenstrup,Republican,Ohio,Yea
420,H. Res. 1469,Westerman,Republican,Arkansas,Yea
421,H. Res. 1469,Wexton,Democratic,Virginia,Nay
422,H. Res. 1469,Wild,Democratic,Pennsylvania,Nay
423,H. Res. 1469,Williams (GA),Democratic,Georgia,Nay
424,H. Res. 1469,Williams (NY),Republican,New York,Yea
425,H. Res. 1469,Williams (TX),Republican,Texas,Yea
426,H. Res. 1469,Wilson (FL),Democratic,Florida,Nay
427,H. Res. 1469,Wilson (SC),Republican,South Carolina,Yea
428,H. Res. 1469,Wittman,Republican,Virginia,Yea
429,H. Res. 1469,Womack,Republican,Arkansas,Yea
430,H. Res. 1469,Yakym,Republican,Indiana,Yea
431,H. Res. 1469,Zinke,Republican,Montana,Yea
432,H. Res. 1469,N/A,N/A,N/A,N/A
433,H. R. 8205,Adams,Democratic,North Carolina,Nay
434,H. R. 8205,Aderholt,Republican,Alabama,Yea
435,H. R. 8205,Aguilar,Democratic,California,Nay
436,H. R. 8205,Alford,Republican,Missouri,Yea
437,H. R. 8205,Allen,Republican,Georgia,Yea
438,H. R. 8205,Allred,Democratic,Texas,Yea
439,H. R. 8205,Amo,Democratic,Rhode Island,Nay
440,H. R. 8205,Amodei,Republican,Nevada,Yea
441,H. R. 8205,Armstrong,Republican,North Dakota,Yea
442,H. R. 8205,Arrington,Republican,Texas,Yea
443,H. R. 8205,Auchincloss,Democratic,Massachusetts,Nay
444,H. R. 8205,Babin,Republican,Texas,Yea
445,H. R. 8205,Bacon,Republican,Nebraska,Yea
446,H. R. 8205,Baird,Republican,Indiana,Yea
447,H. R. 8205,Balderson,Republican,Ohio,Yea
448,H. R. 8205,Balint,Democratic,Vermont,Nay
449,H. R. 8205,Banks,Republican,Indiana,Yea
450,H. R. 8205,Barr,Republican,Kentucky,Yea
451,H. R. 8205,Barragán,Democratic,California,Nay
452,H. R. 8205,Bean (FL),Republican,Florida,Yea
453,H. R. 8205,Beatty,Democratic,Ohio,Nay
454,H. R. 8205,Bentz,Republican,Oregon,Yea
455,H. R. 8205,Bera,Democratic,California,Nay
456,H. R. 8205,Bergman,Republican,Michigan,Yea
457,H. R. 8205,Beyer,Democratic,Virginia,Nay
458,H. R. 8205,Bice,Republican,Oklahoma,Yea
459,H. R. 8205,Biggs,Republican,Arizona,Yea
460,H. R. 8205,Bilirakis,Republican,Florida,Yea
461,H. R. 8205,Bishop (GA),Democratic,Georgia,Nay
462,H. R. 8205,Bishop (NC),Republican,North Carolina,Not Voting
463,H. R. 8205,Blumenauer,Democratic,Oregon,Nay
464,H. R. 8205,Blunt Rochester,Democratic,Delaware,Nay
