,Bill Number,First Name,Last Name,Party,State,Vote Cast
111,H.R. 9468,Laphonza,Butler,D,CA,Nay
112,H.R. 9468,Maria,Cantwell,D,WA,Nay
113,H.R. 9468,Shelley,Capito,R,WV,Yea
114,H.R. 9468,Ben,Cardin,D,MD,Nay
115,H.R. 9468,Thomas,Carper,D,DE,Not Voting
116,H.R. 9468,Bob,Casey,D,PA,Nay
117,H.R. 9468,Bill,Cassidy,R,LA,Yea
118,H.R. 9468,Susan,Collins,R,ME,Yea
119,H.R. 9468,Christopher,Coons,D,DE,Nay
120,H.R. 9468,John,Cornyn,R,TX,Yea
121,H.R. 9468,Catherine,Cortez Masto,D,NV,Nay
122,H.R. 9468,Tom,Cotton,R,AR,Yea
123,H.R. 9468,Kevin,Cramer,R,ND,Yea
124,H.R. 9468,Mike,Crapo,R,ID,Yea
125,H.R. 9468,Ted,Cruz,R,TX,Yea
126,H.R. 9468,Steve,Daines,R,MT,Yea
127,H.R. 9468,Tammy,Duckworth,D,IL,Nay
128,H.R. 9468,Richard,Durbin,D,IL,Nay
129,H.R. 9468,Joni,Ernst,R,IA,Yea
130,H.R. 9468,John,Fetterman,D,PA,Nay
131,H.R. 9468,Deb,Fischer,R,NE,Yea
132,H.R. 9468,Kirsten,Gillibrand,D,NY,Nay
133,H.R. 9468,Lindsey,Graham,R,SC,Yea
134,H.R. 9468,Chuck,Grassley,R,IA,Yea
135,H.R. 9468,Bill,Hagerty,R,TN,Yea
136,H.R. 9468,Maggie,Hassan,D,NH,Nay
137,H.R. 9468,Josh,Hawley,R,MO,Yea
138,H.R. 9468,Martin,Heinrich,D,NM,Nay
139,H.R. 9468,George,Helmy,D,NJ,Nay
140,H.R. 9468,John,Hickenlooper,D,CO,Nay
141,H.R. 9468,Mazie,Hirono,D,HI,Nay
142,H.R. 9468,John,Hoeven,R,ND,Yea
143,H.R. 9468,Cindy,Hyde-Smith,R,MS,Yea
144,H.R. 9468,Ron,Johnson,R,WI,Yea
145,H.R. 9468,Timothy,Kaine,D,VA,Nay
146,H.R. 9468,Mark,Kelly,D,AZ,Nay
147,H.R. 9468,John,Kennedy,R,LA,Yea
148,H.R. 9468,Angus,King,I,ME,Nay
149,H.R. 9468,Amy,Klobuchar,D,MN,Nay
150,H.R. 9468,James,Lankford,R,OK,Yea
151,H.R. 9468,Mike,Lee,R,UT,Yea
152,H.R. 9468,Ben,Lujan,D,NM,Nay
153,H.R. 9468,Cynthia,Lummis,R,WY,Yea
154,H.R. 9468,Joseph,Manchin,I,WV,Nay
155,H.R. 9468,Edward,Markey,D,MA,Nay
156,H.R. 9468,Roger,Marshall,R,KS,Not Voting
157,H.R. 9468,Mitch,McConnell,R,KY,Yea
158,H.R. 9468,Jeff,Merkley,D,OR,Nay
159,H.R. 9468,Jerry,Moran,R,KS,Yea
160,H.R. 9468,Markwayne,Mullin,R,OK,Yea
161,H.R. 9468,Lisa,Murkowski,R,AK,Yea
162,H.R. 9468,Christopher,Murphy,D,CT,Nay
163,H.R. 9468,Patty,Murray,D,WA,Nay
164,H.R. 9468,Jon,Ossoff,D,GA,Nay
165,H.R. 9468,Alex,Padilla,D,CA,Nay
166,H.R. 9468,Rand,Paul,R,KY,Yea
167,H.R. 9468,Gary,Peters,D,MI,Nay
168,H.R. 9468,John,Reed,D,RI,Nay
169,H.R. 9468,Pete,Ricketts,R,NE,Yea
170,H.R. 9468,James ,Risch,R,ID,Yea
171,H.R. 9468,Mitt,Romney,R,UT,Yea
172,H.R. 9468,Jacklyn,Rosen,D,NV,Nay
173,H.R. 9468,Mike,Rounds,R,SD,Not Voting
174,H.R. 9468,Marco,Rubio,R,FL,Yea
175,H.R. 9468,Bernard,Sanders,I,VT,Nay
176,H.R. 9468,Brian,Schatz,D,HI,Nay
177,H.R. 9468,Eric ,Schmitt,R,MO,Yea
178,H.R. 9468,Charles,Schumer,D,NY,Nay
179,H.R. 9468,Rick,Scott,R,FL,Yea
180,H.R. 9468,Tim,Scott,R,SC,Yea
181,H.R. 9468,Jeanne,Shaheen,D,NH,Nay
182,H.R. 9468,Kyrsten,Sinema,I,AZ,Nay
183,H.R. 9468,Tina,Smith,D,MN,Nay
184,H.R. 9468,Debbie,Stabenow,D,MI,Nay
185,H.R. 9468,Dan,Sullivan,R,AK,Yea
186,H.R. 9468,Jon,Tester,D,MT,Yea
187,H.R. 9468,John,Thune,R,SD,Yea
188,H.R. 9468,Thomas,Tillis,R,NC,Not Voting
189,H.R. 9468,Tommy,Tuberville,R,AL,Yea
190,H.R. 9468,Chris,Van Hollen,D,MD,Nay
191,H.R. 9468,J.,Vance,R,OH,Not Voting
