Unnamed: 0,Bill Number,First Name,Last Name,Party,State,Vote Cast,Name
85,H.R. 9747,Dan,Sullivan,R,AK,Yea,Dan Sullivan
86,H.R. 9747,Jon,Tester,D,MT,Yea,Jon Tester
87,H.R. 9747,John,Thune,R,SD,Yea,John Thune
88,H.R. 9747,Thomas,Tillis,R,NC,Yea,Thomas Tillis
89,H.R. 9747,Tommy,Tuberville,R,AL,Nay,Tommy Tuberville
90,H.R. 9747,Chris,Van Hollen,D,MD,Yea,Chris Van Hollen
91,H.R. 9747,J.,Vance,R,OH,Not Voting,J. Vance
92,H.R. 9747,Mark,Warner,D,VA,Yea,Mark Warner
93,H.R. 9747,Raphael,Warnock,D,GA,Yea,Raphael Warnock
94,H.R. 9747,Elizabeth,Warren,D,MA,Yea,Elizabeth Warren
95,H.R. 9747,Peter,Welch,D,VT,Yea,Peter Welch
96,H.R. 9747,Sheldon,Whitehouse,D,RI,Yea,Sheldon Whitehouse
97,H.R. 9747,Roger,Wicker,R,MS,Yea,Roger Wicker
98,H.R. 9747,Ron,Wyden,D,OR,Yea,Ron Wyden
99,H.R. 9747,Todd,Young,R,IN,Yea,Todd Young
100,,Tammy,Baldwin,D,WI,Nay,Tammy Baldwin
101,,John,Barrasso,R,WY,Yea,John Barrasso
102,,Michael,Bennet,D,CO,Nay,Michael Bennet
103,,Marsha,Blackburn,R,TN,Yea,Marsha Blackburn
104,,Richard,Blumenthal,D,CT,Nay,Richard Blumenthal
105,,Cory,Booker,D,NJ,Nay,Cory Booker
106,,John,Boozman,R,AR,Yea,John Boozman
107,,Mike,Braun,R,IN,Yea,Mike Braun
108,,Katie,Britt,R,AL,Yea,Katie Britt
109,,Sherrod ,Brown,D,OH,Yea,Sherrod  Brown
110,,Ted,Budd,R,NC,Yea,Ted Budd
111,,Laphonza,Butler,D,CA,Nay,Laphonza Butler
112,,Maria,Cantwell,D,WA,Nay,Maria Cantwell
113,,Shelley,Capito,R,WV,Yea,Shelley Capito
114,,Ben,Cardin,D,MD,Nay,Ben Cardin
115,,Thomas,Carper,D,DE,Not Voting,Thomas Carper
116,,Bob,Casey,D,PA,Nay,Bob Casey
117,,Bill,Cassidy,R,LA,Yea,Bill Cassidy
118,,Susan,Collins,R,ME,Yea,Susan Collins
119,,Christopher,Coons,D,DE,Nay,Christopher Coons
120,,John,Cornyn,R,TX,Yea,John Cornyn
121,,Catherine,Cortez Masto,D,NV,Nay,Catherine Cortez Masto
122,,Tom,Cotton,R,AR,Yea,Tom Cotton
123,,Kevin,Cramer,R,ND,Yea,Kevin Cramer
124,,Mike,Crapo,R,ID,Yea,Mike Crapo
125,,Ted,Cruz,R,TX,Yea,Ted Cruz
126,,Steve,Daines,R,MT,Yea,Steve Daines
